Model Type,RMSE,Num Computations,Standard Error
rf_basic,0.08096215128107817,15,7.175008366827406e-4
bt_basic,0.08991316565260872,15,7.391413791804384e-4
knn_basic,0.09268785087434286,15,5.64458502867415e-4
lm_basic,0.12918466991306465,15,5.708312452096095e-4
en_basic,0.13244355176536612,15,5.878166710234867e-4
null,0.29111627841695986,15,6.42295293095839e-4
